,Year,Zipcode,Median_Income
1558,2021,78701,136486
1559,2021,78702,82176
1560,2021,78703,125448
1561,2021,78704,82641
1562,2021,78705,23750
1566,2021,78721,61462
1567,2021,78722,85137
1568,2021,78723,76535
1569,2021,78724,58631
1572,2021,78727,91375
1576,2021,78731,92641
1578,2021,78733,187778
1580,2021,78735,105132
1581,2021,78736,92976
1583,2021,78738,143639
1584,2021,78739,178614
1585,2021,78741,54422
1587,2021,78744,65262
1588,2021,78745,72439
1589,2021,78746,166415
1590,2021,78747,86862
1591,2021,78748,89480
1593,2021,78750,108686
1594,2021,78751,67552
1598,2021,78756,87985
1599,2021,78757,87434
1601,2021,78759,90246
